no overall,season,no in season,title,director,writer,air_date,views_mil,imdb_rating,votes,plot,runtime,deathcount,neilsen rating,vox ep rank
1,1,1,Welcome to the Hellmouth,Charles Martin Smith,Joss Whedon,3/10/1997,4.59,8,4548,arc,44,2,3.4,111
2,1,2,The Harvest,John T. Kretchmer,Joss Whedon,3/10/1997,4.59,7.8,3952,arc,46,8,3.4,99
3,1,3,Witch,Stephen Cragg,Dana Reston,3/17/1997,4.63,7.7,3940,motw,46,0,3.2,77
4,1,4,Teacher's Pet,Bruce Seth Green,David Greenwalt,3/24/1997,2.98,6.9,3800,motw,46,5,2,132
5,1,5,Never Kill a Boy on the First Date,David Semel,Rob Des Hotel & Dean Batali,3/31/1997,4.09,7.4,3611,arc,45,7,2.8,115
6,1,6,The Pack,Bruce Seth Green,Matt Kiene & Joe Reinkemeyer,4/7/1997,3.42,7.4,3770,motw,45,3,2.4,73
7,1,7,Angel,Scott Brazil,David Greenwalt,4/14/1997,3.39,8.5,3918,arc,45,6,2.3,39
8,1,8,"I, Robot... You, Jane",Stephen Posey,Ashley Gable�& Thomas A. Swyden,4/28/1997,2.47,6.7,3629,motw,45,4,2.3,142
9,1,9,The Puppet Show,Ellen S. Pressman,Rob Des Hotel & Dean Batali,5/5/1997,2.56,7.7,3666,motw,45,4,1.9,113
10,1,10,Nightmares,Bruce Seth Green,Joss Whedon,5/12/1997,3.47,8.2,3614,motw,45,1,2.4,112
11,1,11,"Out of Mind, Out of Sight",Reza Badiyi,Joss Whedon,5/19/1997,3.36,7.7,3491,motw,45,0,2.4,80
12,1,12,Prophecy Girl,Joss Whedon,Joss Whedon,6/2/1997,3.97,8.8,3882,arc,46,11,2.8,37
13,2,1,When She Was Bad,Joss Whedon,Joss Whedon,9/15/1997,4.37,8.1,3550,arc,46,6,3.1,89
14,2,2,Some Assembly Required,Bruce Seth Green,Ty King,9/22/1997,4.42,7,3315,motw,45,2,3.2,118
15,2,3,School Hard,John T. Kretchmer,Joss Whedon ,9/29/1997,4.86,8.8,3754,arc,45,9,3.4,40
16,2,4,Inca Mummy Girl,Ellen S. Pressman,Matt Kiene & Joe Reinkemeyer,10/6/1997,4.7,7.2,3360,motw,45,4,3.2,140
17,2,5,Reptile Boy,David Greenwalt,David Greenwalt,10/13/1997,4.77,7.1,3304,motw,44,4,3.5,135
18,2,6,Halloween,Bruce Seth Green,Carl Ellsworth,10/27/1997,5.88,8.9,4050,motw,45,2,3.7,46
19,2,7,Lie to Me,Joss Whedon,Joss Whedon,11/3/1997,4.98,8.3,3461,arc,45,5,3.4,28
20,2,8,The Dark Age,Bruce Seth Green,Dean Batali & Rob Des Hotel,11/10/1997,5.59,7.8,3197,arc,45,4,3.7,81
21,2,9,What's My Line (Part 1),David Solomon,Howard Gordon�&�Marti Noxon,11/17/1997,5.04,8.2,3286,arc,45,3,3.5,55
