ID,steps,bmi,gender
1,15000,16.9,male
2,15000,16.9,male
6,14861,16.8,male
7,14861,16.8,male
8,14699,17.3,male
10,14560,20.5,male
11,14560,20.6,male
13,14560,20.5,male
17,14560,20.4,male
18,14560,20.4,male
19,14560,19.8,male
20,14560,19.7,male
22,14560,19.7,male
24,14560,19.6,male
25,14560,19.6,male
27,14560,19.6,male
29,14560,17.4,male
30,14560,17.4,male
32,14398,20.9,male
37,14398,17.5,male
40,14398,17.1,male
42,14259,21.1,male
43,14259,21.1,male
46,14259,18.9,male
47,14259,17.5,male
49,14259,17.2,male
50,14259,16.7,male
51,14097,21.3,male
52,14097,21.3,male
54,14097,18.6,male
55,14097,18.6,male
57,14097,17.3,male
60,13958,21.4,male
61,13958,21.4,male
66,13958,17.6,male
68,13796,21.6,male
69,13796,21.6,male
71,13796,18.2,male
72,13796,18.2,male
73,13796,18.2,male
74,13796,18.1,male
76,13796,17.7,male
78,13796,17.7,male
82,13657,21.7,male
84,13657,17.7,male
85,13657,17.5,male
87,13495,21.8,male
88,13495,21.8,male
93,13333,21.9,male
94,13333,17.8,male
96,13333,16.9,male
97,13333,16.9,male
99,13333,16.9,male
100,13333,16.8,male
101,13333,16.8,male
103,13333,16.8,male
105,13194,17.8,male
106,13194,17.8,male
107,13194,17.2,male
110,13032,22.2,male
111,13032,17.7,male
115,12894,22.3,male
117,12894,17.8,male
118,12894,17.7,male
120,12894,17.3,male
122,12731,24.8,male
123,12731,24.8,male
124,12731,24.8,male
125,12731,24.8,male
127,12731,23.8,male
128,12731,23.7,male
129,12731,23.7,male
132,12731,22.4,male
133,12731,17.7,male
134,12731,17.4,male
137,12593,25.1,male
139,12593,25.1,male
140,12593,23.3,male
141,12593,23.3,male
142,12593,23.3,male
143,12593,23.3,male
145,12593,22.5,male
148,12593,16.8,male
152,12431,22.9,male
153,12431,22.9,male
154,12431,22.7,male
155,12431,22.7,male
157,12431,17.6,male
158,12431,16.9,male
159,12431,16.9,male
160,12431,16.9,male
161,12292,25.5,male
163,12292,22.7,male
165,12292,17.8,male
166,12292,17.6,male
169,12292,17.6,male
170,12292,17.6,male
171,12292,17.1,male
172,12292,17,male
173,12292,17,male
178,12130,22.4,male
181,12130,17.2,male
182,11968,25.8,male
183,11968,25.8,male
184,11968,22.2,male
186,11968,22.2,male
187,11968,17.7,male
188,11968,17.7,male
190,11829,29.7,male
191,11829,28.9,male
193,11829,28.8,male
198,11829,19,male
201,11829,18.2,male
202,11829,18.2,male
204,11829,17.3,male
206,11667,29.8,male
207,11667,29.5,male
209,11667,28.5,male
212,11667,26,male
213,11667,21.9,male
214,11667,21.9,male
217,11667,17.9,male
218,11667,18.1,male
220,11667,17.9,male
222,11528,29.8,male
224,11528,28.4,male
225,11528,28.4,male
226,11528,26,male
227,11528,26,male
229,11528,21.8,male
230,11528,19.3,male
231,11528,19.3,male
232,11528,18.1,male
234,11528,18,male
236,11528,17.8,male
238,11528,17.2,male
239,11366,29.8,male
242,11366,28.3,male
243,11366,28.3,male
244,11366,26.1,male
246,11366,19.4,male
248,11366,17.8,male
251,11227,29.6,male
252,11227,29.6,male
255,11227,29.6,male
256,11227,29.6,male
257,11227,28.7,male
261,11227,28.2,male
263,11227,26.2,male
264,11227,21.6,male
265,11227,21.6,male
266,11227,19.5,male
267,11227,19.5,male
268,11227,17.7,male
271,11065,29.9,male
273,11065,28.3,male
275,11065,28.3,male
276,11065,28.2,male
278,11065,26.2,male
280,11065,21.4,male
285,11065,17.4,male
286,11065,17.4,male
287,11065,17.3,male
290,11065,17.3,male
291,10926,30.2,male
292,10926,30.1,male
294,10926,28,male
295,10926,28.1,male
296,10926,26.3,male
299,10926,19.6,male
301,10764,30.3,male
303,10764,30.4,male
304,10764,27.8,male
307,10764,27.3,male
309,10764,27.2,male
312,10764,21.1,male
315,10764,19.7,male
316,10625,30.5,male
317,10625,30.5,male
319,10625,29.9,male
322,10625,28.9,male
323,10625,28.9,male
324,10625,27.6,male
325,10625,27.6,male
326,10625,27.5,male
327,10625,27.5,male
331,10625,20.8,male
336,10463,31.3,male
339,10463,30.1,male
340,10463,30.1,male
342,10463,28.5,male
344,10463,27.8,male
345,10463,27.4,male
346,10463,27.8,male
348,10463,25.8,male
349,10463,25.8,male
350,10463,20.3,male
352,10463,20.4,male
353,10463,20.3,male
354,10463,20.3,male
355,10463,19.8,male
356,10301,31.4,male
358,10301,30.8,male
359,10301,30.8,male
361,10301,29.7,male
362,10301,29.6,male
363,10301,29.7,male
364,10301,28.4,male
366,10301,28.3,male
368,10301,27.3,male
369,10301,27.3,male
370,10301,27.4,male
371,10301,27.2,male
373,10301,27.3,male
374,10301,27.3,male
378,10301,27.3,male
380,10301,26.5,male
381,10301,26.6,male
382,10301,26.6,male
384,10301,25.7,male
388,10301,19.5,male
389,10301,19.5,male
390,10162,31.3,male
392,10162,30.9,male
394,10162,30.3,male
395,10162,29.9,male
396,10162,29.9,male
400,10162,28.2,male
402,10162,28.1,male
403,10162,27.5,male
404,10162,27.1,male
408,10162,25.5,male
412,10000,31.5,male
414,10000,31,male
415,10000,30.3,male
417,10000,30,male
420,10000,28.2,male
421,10000,27,male
424,10000,25.5,male
425,10000,18.8,male
426,10000,18.7,male
427,10000,18.7,male
429,9861,31.1,male
430,9861,31.1,male
434,9861,30,male
436,9861,29.6,male
437,9861,29.1,male
440,9861,26.9,male
441,9861,26.3,male
443,9861,25.4,male
444,9861,18.5,male
445,9861,18.5,male
451,9699,28.9,male
453,9699,26.8,male
456,9699,26.3,male
458,9699,25.3,male
459,9699,18.3,male
462,9560,31.2,male
464,9560,30.3,male
465,9560,30.1,male
466,9560,29.6,male
467,9560,28.8,male
469,9560,26.2,male
470,9560,25.3,male
474,9560,24.1,male
476,9560,24,male
477,9560,24.1,male
480,9398,31.5,male
481,9398,31.3,male
482,9398,31.3,male
486,9398,29.6,male
487,9398,29.6,male
488,9398,29.3,male
489,9398,29.3,male
490,9398,29.5,male
492,9398,29.2,male
493,9398,29.2,male
494,9398,29.2,male
495,9398,29.2,male
496,9398,29.2,male
499,9398,29.1,male
501,9398,29.5,male
503,9398,27.8,male
505,9398,29.3,male
507,9398,27.8,male
508,9398,26.8,male
509,9398,25.3,male
510,9398,26.2,male
511,9398,24.9,male
514,9398,23.6,male
515,9398,23.6,male
516,9398,23.6,male
