StartDate,Q2,Q2_7_TEXT
28/04/2022 09:18,"Slept,Eaten food,Cooked food,Gone to work",
28/04/2022 09:16,"Slept,Eaten food,Gone to work,Commuted for work,Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD),Other (WHAT'S YOUR HOBBY?)",Played mobile games
28/04/2022 09:20,"Slept,Eaten food,Cooked food",
28/04/2022 09:21,"Slept,Eaten food,Cooked food,Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD),Other (WHAT'S YOUR HOBBY?)",Pokemon 
28/04/2022 09:21,"Slept,Eaten food,Cooked food,Gone to work,Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD),Other (WHAT'S YOUR HOBBY?)",Video Games
28/04/2022 09:24,"Slept,Eaten food,Cooked food,Gone to work,Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD),Other (WHAT'S YOUR HOBBY?)",lifted weights
28/04/2022 09:25,"Slept,Eaten food,Cooked food,Gone to work,Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD),Other (WHAT'S YOUR HOBBY?)",Watched football
28/04/2022 09:26,"Slept,Eaten food,Gone to work",
28/04/2022 09:27,"Slept,Eaten food,Gone to work,Commuted for work",
28/04/2022 09:30,"Slept,Eaten food,Gone to work,Commuted for work",
28/04/2022 09:33,"Slept,Eaten food,Gone to work",
28/04/2022 09:37,"Slept,Eaten food,Cooked food,Gone to work",
28/04/2022 09:37,"Slept,Eaten food,Cooked food,Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD),Other (WHAT'S YOUR HOBBY?)",video games
28/04/2022 09:38,"Slept,Eaten food,Cooked food,Gone to work,Commuted for work,Relaxed with a hobby (TELL US THE HOBBY BY TYPING IN THE OTHER FIELD),Other (WHAT'S YOUR HOBBY?)",Coding/programming - but is it really relaxing?
28/04/2022 09:39,"Slept,Eaten food,Cooked food,Gone to work",
28/04/2022 09:40,"Slept,Commuted for work,Other (WHAT'S YOUR HOBBY?)",Other
28/04/2022 09:51,"Slept,Eaten food,Cooked food,Gone to work",
